Confucius|Never give a sword to a man who can't dance.
Confucius|Imagination is more important than knowledge.
Confucius|The man who says he CAN and the man who says he CANNOT are both correct.
Confucius|The man who asks a question is a fool for a minute. The man who does not ask is a fool for life.
Confucius|The more man meditates upon good thoughts, the better will be his world and the world at large.
Oscar Wilde|Be yourself; everyone else is already taken.
Oscar Wilde|The truth is rarely pure and never simple.
Sun Tzu|Appear weak when you are strong and strong when you are weak.
Sun Tzu|The supreme art of war is to subdue the enemy without fighting.
Sun Tzu|The greatest victory is that which requires no battle.
Winston Churchill|Success consists of going from failure to failure without loss of enthusiasm.
Winston Churchill|Success is not final. Failure is not fatal. It is the courage to continue that counts.
Malcolm X|If you have no critics, you’ll likely have no success.
Maya Angelou|If your always trying to be normal, you will never know how amazing you can be.
Johann Wolfgang von Goethe|Everything is hard before it is easy.
Robert Ingersoll|We rise by lifting others.
Albert Einstein|Imagination is more important than knowlodge.
Napoleon Bonaparte|Victory is not always winning the battle... but rising everytime you fall.
Devdutt Pattanaik|What we posses is temporary, but what we become is permanent.
Salman Rushdie|The only people who see the whole picture are the ones who step out of the frames.
Mother Teresa|The hunger for love is much more difficult to remove than the hunger for love.
Albert Einstein|If you want to live a happy life, tie it to a goal, not to people or things.
Steve Jobs|Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma – which is living with the results of other people’s thinking.
Steve Jobs|If you really look closely, most overnight successes took a long time.
Seneca|Not how long, but how well you have lived is the main thing.
Henry Ford|The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.
Kobe Bryant|Everything negative – pressure, challenges – is all an opportunity for me to rise.
Helen Keller|When we do the best we can, we never know what miracle is wrought in our life or the life of another.
Wordsworth|The best portion of a good man's life is his little nameless, unencumbered acts of kindness and of love.
Buddha|Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.
Buddha|Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.
Buddha|Be where you are; otherwise you will miss your life.
Mark Twain|The two most important days in your life are the day you are born and the day you find out why.
Neil Armstrong|I believe every human has a finite number of heartbeats. I don't intend to waste any of mine.
Paulo Coelho|When we strive to become better than we are, everything around us becomes better too.
Helen Keller|As my knowledge of things grew I felt more and more the delight of the world I was in.
Helen Keller|The best and most beautiful things in the world cannot be seen or even touched — they must be felt with the heart.
Nelson Mandela|The greatest glory in living lies not in never falling, but in rising every time we fall.
Walt Disney|The way to get started is to quit talking and begin doing.
Eleanor Roosevelt|If life were predictable it would cease to be life, and be without flavor.
Eleanor Roosevelt|The future belongs to those who believe in the beauty of their dreams.
Oprah Winfrey|If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough.
Mother Teresa|Spread love everywhere you go. Let no one ever come to you without leaving happier.
Aristotle|It is during our darkest moments that we must focus to see the light.
Maya Angelou|You will face many defeats in life, but never let yourself be defeated.
Abraham Lincoln|In the end, it's not the years in your life that count. It's the life in your years.
Thomas A. Edison|Many of life's failures are people who did not realize how close they were to success when they gave up.
Oscar Wilde|Life is never fair, and perhaps it is a good thing for most of us that it is not.
Thomas Jefferson|I find that the harder I work, the more luck I seem to have.
Franklin D. Roosevelt|The only limit to our realization of tomorrow will be our doubts of today.
